gun_ammo_rnk,state,year
18,Alabama,2017
2,Alaska,2017
1,Arizona,2017
22,Arkansas,2017
46,California,2017
39,Colorado,2017
45,Connecticut,2017
42,Delaware,2017
12,Florida,2017
9,Georgia,2017
47,Hawaii,2017
19,Idaho,2017
40,Illinois,2017
21,Indiana,2017
36,Iowa,2017
3,Kansas,2017
14,Kentucky,2017
28,Louisiana,2017
30,Maine,2017
44,Maryland,2017
49,Massachusetts,2017
27,Michigan,2017
41,Minnesota,2017
16,Mississippi,2017
10,Missouri,2017
5,Montana,2017
35,Nebraska,2017
25,Nevada,2017
15,New Hampshire,2017
48,New Jersey,2017
37,New Mexico,2017
50,New York,2017
26,North Carolina,2017
7,North Dakota,2017
29,Ohio,2017
4,Oklahoma,2017
34,Oregon,2017
33,Pennsylvania,2017
43,Rhode Island,2017
24,South Carolina,2017
32,South Dakota,2017
11,Tennessee,2017
8,Texas,2017
6,Utah,2017
20,Vermont,2017
31,Virginia,2017
38,Washington,2017
13,West Virginia,2017
23,Wisconsin,2017
17,Wyoming,2017
7,Alabama,2015
3,Alaska,2015
1,Arizona,2015
31,Arkansas,2015
46,California,2015
37,Colorado,2015
45,Connecticut,2015
41,Delaware,2015
12,Florida,2015
13,Georgia,2015
47,Hawaii,2015
32,Idaho,2015
43,Illinois,2015
16,Indiana,2015
38,Iowa,2015
8,Kansas,2015
5,Kentucky,2015
17,Louisiana,2015
29,Maine,2015
44,Maryland,2015
48,Massachusetts,2015
33,Michigan,2015
39,Minnesota,2015
18,Mississippi,2015
9,Missouri,2015
11,Montana,2015
34,Nebraska,2015
22,Nevada,2015
10,New Hampshire,2015
49,New Jersey,2015
36,New Mexico,2015
50,New York,2015
19,North Carolina,2015
26,North Dakota,2015
35,Ohio,2015
30,Oklahoma,2015
28,Oregon,2015
20,Pennsylvania,2015
42,Rhode Island,2015
14,South Carolina,2015
27,South Dakota,2015
23,Tennessee,2015
15,Texas,2015
4,Utah,2015
2,Vermont,2015
24,Virginia,2015
40,Washington,2015
21,West Virginia,2015
25,Wisconsin,2015
6,Wyoming,2015
