state,fips_st,usps_st,region,reg_code,reg_name,subregion,subreg_code,subreg_name
Connecticut,9,CT,1-Northeast,1,Northeast,1-New England,1,New England
Maine,23,ME,1-Northeast,1,Northeast,1-New England,1,New England
Massachusetts,25,MA,1-Northeast,1,Northeast,1-New England,1,New England
New Hampshire,33,NH,1-Northeast,1,Northeast,1-New England,1,New England
Rhode Island,44,RI,1-Northeast,1,Northeast,1-New England,1,New England
Vermont,50,VT,1-Northeast,1,Northeast,1-New England,1,New England
New Jersey,34,NJ,1-Northeast,1,Northeast,2-Mid Atlantic,2,Mid Atlantic
New York,36,NY,1-Northeast,1,Northeast,2-Mid Atlantic,2,Mid Atlantic
Pennsylvania,42,PA,1-Northeast,1,Northeast,2-Mid Atlantic,2,Mid Atlantic
Illinois,17,IL,2-Midwest,2,Midwest,3-Great Lakes,3,Great Lakes
Indiana,18,IN,2-Midwest,2,Midwest,3-Great Lakes,3,Great Lakes
Michigan,26,MI,2-Midwest,2,Midwest,3-Great Lakes,3,Great Lakes
Ohio,39,OH,2-Midwest,2,Midwest,3-Great Lakes,3,Great Lakes
Wisconsin,55,WI,2-Midwest,2,Midwest,3-Great Lakes,3,Great Lakes
Iowa,19,IA,2-Midwest,2,Midwest,4-Great Plains,4,Great Plains
Kansas,20,KS,2-Midwest,2,Midwest,4-Great Plains,4,Great Plains
Minnesota,27,MN,2-Midwest,2,Midwest,4-Great Plains,4,Great Plains
Missouri,29,MO,2-Midwest,2,Midwest,4-Great Plains,4,Great Plains
Nebraska,31,NE,2-Midwest,2,Midwest,4-Great Plains,4,Great Plains
North Dakota,38,ND,2-Midwest,2,Midwest,4-Great Plains,4,Great Plains
South Dakota,46,SD,2-Midwest,2,Midwest,4-Great Plains,4,Great Plains
Delaware,10,DE,3-South,3,South,5-South Atlantic,5,South Atlantic
District of Columbia,11,DC,3-South,3,South,5-South Atlantic,5,South Atlantic
Florida,12,FL,3-South,3,South,5-South Atlantic,5,South Atlantic
Georgia,13,GA,3-South,3,South,5-South Atlantic,5,South Atlantic
Maryland,24,MD,3-South,3,South,5-South Atlantic,5,South Atlantic
North Carolina,37,NC,3-South,3,South,5-South Atlantic,5,South Atlantic
South Carolina,45,SC,3-South,3,South,5-South Atlantic,5,South Atlantic
Virginia,51,VA,3-South,3,South,5-South Atlantic,5,South Atlantic
West Virginia,54,WV,3-South,3,South,5-South Atlantic,5,South Atlantic
Alabama,1,AL,3-South,3,South,6-South Central East,6,South Central East
Kentucky,21,KY,3-South,3,South,6-South Central East,6,South Central East
Mississippi,28,MS,3-South,3,South,6-South Central East,6,South Central East
Tennessee,47,TN,3-South,3,South,6-South Central East,6,South Central East
Arkansas,5,AR,3-South,3,South,7-South Central West,7,South Central West
Louisiana,22,LA,3-South,3,South,7-South Central West,7,South Central West
Oklahoma,40,OK,3-South,3,South,7-South Central West,7,South Central West
Texas,48,TX,3-South,3,South,7-South Central West,7,South Central West
Arizona,4,AZ,4-West,4,West,8-Mountain,8,Mountain
Colorado,8,CO,4-West,4,West,8-Mountain,8,Mountain
Idaho,16,ID,4-West,4,West,8-Mountain,8,Mountain
Montana,30,MT,4-West,4,West,8-Mountain,8,Mountain
Nevada,32,NV,4-West,4,West,8-Mountain,8,Mountain
New Mexico,35,NM,4-West,4,West,8-Mountain,8,Mountain
Utah,49,UT,4-West,4,West,8-Mountain,8,Mountain
Wyoming,56,WY,4-West,4,West,8-Mountain,8,Mountain
Alaska,2,AK,4-West,4,West,9-Pacific,9,Pacific
California,6,CA,4-West,4,West,9-Pacific,9,Pacific
Hawaii,15,HI,4-West,4,West,9-Pacific,9,Pacific
Oregon,41,OR,4-West,4,West,9-Pacific,9,Pacific
Washington,53,WA,4-West,4,West,9-Pacific,9,Pacific
